lower_seed_won,seed_diff,round,region,home_team,home_seed,home_gp,home_ppg,home_fgm,home_fga,home_fgp,home_3pm,home_3pa,home_3pp,home_ftm,home_fta,home_ftp,home_orb,home_drb,home_rpg,home_apg,home_spg,home_bpg,home_tov,home_pf,home_off,home_def,home_temp,home_luck,home_sched,home_oppo,home_oppd,away_team,away_seed,away_gp,away_ppg,away_fgm,away_fga,away_fgp,away_3pm,away_3pa,away_3pp,away_ftm,away_fta,away_ftp,away_orb,away_drb,away_rpg,away_apg,away_spg,away_bpg,away_tov,away_pf,away_off,away_def,away_temp,away_luck,away_sched,away_oppo,away_oppd,dif_off,dif_def,dif_temp,dif_luck,dif_sched,dif_oppo,dif_oppd,dif_ppg,dif_fgm,dif_fga,dif_fgp,dif_3pm,dif_3pa,dif_3pp,dif_ftm,dif_fta,dif_ftp,dif_orb,dif_drb,dif_rpg,dif_apg,dif_spg,dif_bpg,dif_tov,dif_pf
1,8,32,s,Villanova,5,25,74.8,26.2,57.8,0.453,9.2,25.9,0.353,13.2,17.4,0.763,8.8,24.1,32.9,15,5.1,1.9,9.1,15.5,119,96,64.2,-0.007,13.66,109.3,95.7,North Texas,13,28,69.8,25.6,54.1,0.473,7.6,20.4,0.375,10.9,14.7,0.745,8.3,23.8,32.1,13.3,6.5,2.9,12.9,15.7,106.7,95,62.7,-0.018,6.35,105,98.6,12.3,1,1.5,0.011,7.31,4.3,-2.9,5,0.6,3.7,-0.02,1.6,5.5,-0.022,2.3,2.7,0.018,0.5,0.3,0.8,1.7,-1.4,-1,-3.8,-0.2
1,3,32,s,Arkansas,3,32,81.4,29.2,64.7,0.451,7.3,21.9,0.332,15.7,21.2,0.74,11.5,26.9,38.4,14.6,7.8,4.9,12.9,16.9,111.1,89.6,72.6,0.064,12.69,109.4,96.7,Texas Tech,6,29,72.5,25.3,57.7,0.439,6.4,18,0.354,15.5,21.9,0.71,11,22.8,33.7,13,7.1,4,10.8,17.3,112.7,90.9,65.1,-0.099,12.84,108.5,95.7,-1.6,-1.3,7.5,0.163,-0.15,0.9,1,8.9,3.9,7,0.012,0.9,3.9,-0.022,0.2,-0.7,0.03,0.5,4.1,4.7,1.6,0.7,0.9,2.1,-0.4
0,8,32,s,Florida,7,25,74.2,26.5,56.3,0.471,6.8,19,0.356,14.4,19.1,0.753,9.5,24.8,34.2,11.7,7.2,5.2,15,18.6,111,94.1,68.3,-0.004,14.72,109.9,95.2,Oral Roberts,15,29,81.1,28,62.2,0.449,11.1,29.3,0.38,14,17.1,0.821,7.8,25.6,33.3,12.8,6.6,3.8,11.4,17.3,109.3,104.4,71.4,0.023,4.09,105.2,101.1,1.7,-10.3,-3.1,-0.027,10.63,4.7,-5.9,-6.9,-1.5,-5.9,0.022,-4.3,-10.3,-0.024,0.4,2,-0.068,1.7,-0.8,0.9,-1.1,0.6,1.4,3.6,1.3
0,7,32,mw,Illinois,1,31,80.5,29.3,58.7,0.5,6.5,17.6,0.372,15.4,22.3,0.69,9.8,28.7,38.5,16.3,5.7,2.8,13,17.7,118,88.9,70.5,0.022,18.17,112.3,94.1,Loyola Chicago,8,31,71,25.9,52.1,0.498,7.1,19.5,0.365,12,16.7,0.719,7.4,24.3,31.6,15.8,6.9,2.4,11.7,14.3,111.3,87,63.7,-0.024,6.27,105.6,99.4,6.7,1.9,6.8,0.046,11.9,6.7,-5.3,9.5,3.4,6.6,0.002,-0.6,-1.9,0.007,3.4,5.6,-0.029,2.4,4.4,6.9,0.5,-1.2,0.4,1.3,3.4
0,8,32,mw,Oklahoma State,4,30,76.6,27.2,59.3,0.458,6.3,19.1,0.332,15.8,22.3,0.71,10.5,26.8,37.3,12.8,7.5,4.4,15.6,17.2,109.6,90.7,72.4,0.038,15.52,111.1,95.6,Oregon State,12,33,70.5,24.3,55.8,0.436,7,19.5,0.357,14.8,19.5,0.762,9.7,23.5,33.2,14.5,5.8,3.5,11.6,18.8,112.1,95.7,65.5,0.072,16.72,111.2,94.5,-2.5,-5,6.9,-0.034,-1.2,-0.1,1.1,6.1,2.9,3.5,0.022,-0.7,-0.4,-0.025,1,2.8,-0.052,0.8,3.3,4.1,-1.7,1.7,0.9,4,-1.6
0,8,32,mw,West Virginia,3,29,77.3,26.5,61.8,0.429,7.4,20.4,0.364,16.9,23.4,0.719,12.9,23.5,36.4,14,7.6,2.8,12,16.3,116.8,96.3,69.2,-0.056,15.18,109.6,94.4,Syracuse,11,28,74.8,26.5,60.1,0.441,8.5,24.3,0.349,13.3,17,0.782,9.8,24.6,34.5,15,8.1,5,11.4,14.6,113.7,96.9,68.6,0.029,12.94,109.4,96.5,3.1,-0.6,0.6,-0.085,2.24,0.2,-2.1,2.5,0,1.7,-0.012,-1.1,-3.9,0.015,3.6,6.4,-0.063,3.1,-1.1,1.9,-1,-0.5,-2.2,0.6,1.7
1,8,32,mw,Houston,2,32,76.1,26.7,61.3,0.435,9.1,25.7,0.354,13.6,18.6,0.731,13.9,25.3,39.2,13.9,8,4.7,10.7,18,118.3,89.6,64.4,0.018,9.21,105.7,96.5,Rutgers,10,28,69.3,26.5,59,0.449,6.1,19.7,0.312,10.2,16,0.636,9.1,25.1,34.2,13.7,7.6,5.1,11.4,17.5,108.1,90.6,67.4,0.027,17.99,112.4,94.4,10.2,-1,-3,-0.009,-8.78,-6.7,2.1,6.8,0.2,2.3,-0.014,3,6,0.042,3.4,2.6,0.095,4.8,0.2,5,0.2,0.4,-0.4,-0.7,0.5
1,4,16,w,Gonzaga,1,32,91,33.7,61.4,0.549,7.5,20.4,0.368,16,21.9,0.731,8.6,27.4,36,18.8,7.9,2.8,12,16.3,126.4,89.9,73.8,0.022,11.35,108.1,96.8,Creighton,5,31,76,28.3,60.1,0.472,9.5,26.2,0.361,9.9,15.4,0.64,8,26.8,34.7,15.6,7,3.3,11,15.4,113.4,92.8,68.7,0.017,13.19,108.8,95.6,13,-2.9,5.1,0.005,-1.84,-0.7,1.2,15,5.4,1.3,0.077,-2,-5.8,0.007,6.1,6.5,0.091,0.6,0.6,1.3,3.2,0.9,-0.5,1,0.9
1,1,16,w,USC,6,33,74.9,27.4,58.1,0.472,6.5,18,0.36,13.7,21.1,0.649,11.2,26.7,37.8,13.9,4.8,5.1,12.4,15.1,115.7,88.1,67,0.001,16.27,111.1,94.8,Oregon,7,28,74.9,27.8,59,0.472,8.4,22.2,0.377,10.9,15.3,0.711,9.1,23,32,13.9,7.4,3.7,11.4,15.5,117.2,95.4,67.2,0.049,15.2,110.6,95.4,-1.5,-7.3,-0.2,-0.048,1.07,0.5,-0.6,0,-0.4,-0.9,0,-1.9,-4.2,-0.017,2.8,5.8,-0.062,2.1,3.7,5.8,0,-2.6,1.4,1,-0.4
1,3,16,e,Michigan,1,28,75.8,27.5,57.1,0.482,7.4,19.3,0.381,13.3,17.3,0.769,8.7,27.6,36.3,15.8,4.3,4.2,11.3,14.7,117.6,87.9,66.6,0.007,16.44,111.7,95.3,Florida State,4,25,77.2,27.7,58.4,0.474,7.7,20.4,0.376,14,19,0.741,10.8,25,35.8,14.5,7.3,5.1,14.4,18.4,114.9,92.8,69.9,0.002,13.48,109.5,96,2.7,-4.9,-3.3,0.005,2.96,2.2,-0.7,-1.4,-0.2,-1.3,0.008,-0.3,-1.1,0.005,-0.7,-1.7,0.028,-2.1,2.6,0.5,1.3,-3,-0.9,-3.1,-3.7
